frame,Hips_x,Hips_y,Hips_z,LeftUpLeg_x,LeftUpLeg_y,LeftUpLeg_z,RightUpLeg_x,RightUpLeg_y,RightUpLeg_z,Spine_x,Spine_y,Spine_z,LeftLeg_x,LeftLeg_y,LeftLeg_z,RightLeg_x,RightLeg_y,RightLeg_z,Spine1_x,Spine1_y,Spine1_z,LeftFoot_x,LeftFoot_y,LeftFoot_z,RightFoot_x,RightFoot_y,RightFoot_z,Spine2_x,Spine2_y,Spine2_z,LeftToeBase_x,LeftToeBase_y,LeftToeBase_z,RightToeBase_x,RightToeBase_y,RightToeBase_z,LeftShoulder_x,LeftShoulder_y,LeftShoulder_z,Neck_x,Neck_y,Neck_z,RightShoulder_x,RightShoulder_y,RightShoulder_z,LeftArm_x,LeftArm_y,LeftArm_z,Head_x,Head_y,Head_z,RightArm_x,RightArm_y,RightArm_z,LeftForeArm_x,LeftForeArm_y,LeftForeArm_z,RightForeArm_x,RightForeArm_y,RightForeArm_z,LeftHand_x,LeftHand_y,LeftHand_z,RightHand_x,RightHand_y,RightHand_z,LeftHandIndex1_x,LeftHandIndex1_y,LeftHandIndex1_z,LeftHandMiddle1_x,LeftHandMiddle1_y,LeftHandMiddle1_z,LeftHandPinky1_x,LeftHandPinky1_y,LeftHandPinky1_z,LeftHandRing1_x,LeftHandRing1_y,LeftHandRing1_z,LeftHandThumb1_x,LeftHandThumb1_y,LeftHandThumb1_z,RightHandIndex1_x,RightHandIndex1_y,RightHandIndex1_z,RightHandMiddle1_x,RightHandMiddle1_y,RightHandMiddle1_z,RightHandPinky1_x,RightHandPinky1_y,RightHandPinky1_z,RightHandRing1_x,RightHandRing1_y,RightHandRing1_z,RightHandThumb1_x,RightHandThumb1_y,RightHandThumb1_z,LeftHandIndex2_x,LeftHandIndex2_y,LeftHandIndex2_z,LeftHandMiddle2_x,LeftHandMiddle2_y,LeftHandMiddle2_z,LeftHandPinky2_x,LeftHandPinky2_y,LeftHandPinky2_z,LeftHandRing2_x,LeftHandRing2_y,LeftHandRing2_z,LeftHandThumb2_x,LeftHandThumb2_y,LeftHandThumb2_z,RightHandIndex2_x,RightHandIndex2_y,RightHandIndex2_z,RightHandMiddle2_x,RightHandMiddle2_y,RightHandMiddle2_z,RightHandPinky2_x,RightHandPinky2_y,RightHandPinky2_z,RightHandRing2_x,RightHandRing2_y,RightHandRing2_z,RightHandThumb2_x,RightHandThumb2_y,RightHandThumb2_z,LeftHandIndex3_x,LeftHandIndex3_y,LeftHandIndex3_z,LeftHandMiddle3_x,LeftHandMiddle3_y,LeftHandMiddle3_z,LeftHandPinky3_x,LeftHandPinky3_y,LeftHandPinky3_z,LeftHandRing3_x,LeftHandRing3_y,LeftHandRing3_z,LeftHandThumb3_x,LeftHandThumb3_y,LeftHandThumb3_z,RightHandIndex3_x,RightHandIndex3_y,RightHandIndex3_z,RightHandMiddle3_x,RightHandMiddle3_y,RightHandMiddle3_z,RightHandPinky3_x,RightHandPinky3_y,RightHandPinky3_z,RightHandRing3_x,RightHandRing3_y,RightHandRing3_z,RightHandThumb3_x,RightHandThumb3_y,RightHandThumb3_z
1,0.008635725,0.9101452,0.02089895,-0.07151756,0.8385964,0.01817577,0.09213289,0.8440228,0.006504974,0.004585403,1.011425,0.01119096,-0.2285979,0.4682049,0.2053065,0.1447028,0.4676647,0.2355764,0.00661706,1.110943,0.02105443,-0.3625455,0.08730948,0.01755759,0.2089014,0.08730322,0.01314345,0.008837162,1.201844,0.04160115,-0.3699604,2.276897E-05,0.1244061,0.207435,1.657009E-05,0.120239,-0.03370455,1.311198,0.07193662,0.01249018,1.358948,0.1028315,0.05742469,1.30689,0.07755967,-0.1366663,1.313486,0.03818402,0.0184855,1.432226,0.1670862,0.1634984,1.30672,0.05531239,-0.3009933,1.107221,-0.05107088,0.2252645,1.053681,0.1536525,-0.1585939,1.150917,0.1898966,-0.02973888,1.132987,0.2481834,-0.105135,1.135408,0.2656403,-0.1247736,1.127303,0.2758451,-0.1600474,1.107762,0.2682105,-0.1418405,1.118644,0.2754245,-0.1208638,1.145214,0.2008377,-0.109774,1.166576,0.2842353,-0.1003096,1.161989,0.3053277,-0.0751889,1.136268,0.3251202,-0.08911551,1.15189,0.3171232,-0.0678079,1.139417,0.2390231,-0.0959398,1.10434,0.2477742,-0.1155743,1.096231,0.2579878,-0.1533893,1.076581,0.2514947,-0.1340121,1.092193,0.2602143,-0.1006721,1.117267,0.224595,-0.1198244,1.132067,0.2754538,-0.11036,1.12748,0.2965463,-0.08496767,1.102692,0.3165761,-0.09829468,1.120372,0.309103,-0.1053313,1.124736,0.2504789,-0.1081151,1.118447,0.2262101,-0.1281768,1.110833,0.235667,-0.1623605,1.086976,0.2356053,-0.1466146,1.106795,0.2378934,-0.1208623,1.095203,0.24115,-0.09524242,1.135355,0.2614122,-0.08491564,1.130883,0.282012,-0.0668546,1.105114,0.3062297,-0.07337048,1.123705,0.2948658,-0.1135056,1.11893,0.2831371
2,0.008635725,0.9101452,0.02089895,-0.07151756,0.8385964,0.01817577,0.09213289,0.8440228,0.006504974,0.004585403,1.011425,0.01119096,-0.2285979,0.4682049,0.2053065,0.1447028,0.4676647,0.2355764,0.00661706,1.110943,0.02105443,-0.3625455,0.08730948,0.01755759,0.2089014,0.08730322,0.01314345,0.008837162,1.201844,0.04160115,-0.3699604,2.276897E-05,0.1244061,0.207435,1.657009E-05,0.120239,-0.03370455,1.311198,0.07193662,0.01249018,1.358948,0.1028315,0.05742469,1.30689,0.07755967,-0.1366663,1.313486,0.03818402,0.0184855,1.432226,0.1670862,0.1634984,1.30672,0.05531239,-0.3009933,1.107221,-0.05107088,0.2252645,1.053681,0.1536525,-0.1585939,1.150917,0.1898966,-0.02973888,1.132987,0.2481834,-0.105135,1.135408,0.2656403,-0.1247736,1.127303,0.2758451,-0.1600474,1.107762,0.2682105,-0.1418405,1.118644,0.2754245,-0.1208638,1.145214,0.2008377,-0.109774,1.166576,0.2842353,-0.1003096,1.161989,0.3053277,-0.0751889,1.136268,0.3251202,-0.08911551,1.15189,0.3171232,-0.0678079,1.139417,0.2390231,-0.0959398,1.10434,0.2477742,-0.1155743,1.096231,0.2579878,-0.1533893,1.076581,0.2514947,-0.1340121,1.092193,0.2602143,-0.1006721,1.117267,0.224595,-0.1198244,1.132067,0.2754538,-0.11036,1.12748,0.2965463,-0.08496767,1.102692,0.3165761,-0.09829468,1.120372,0.309103,-0.1053313,1.124736,0.2504789,-0.1081151,1.118447,0.2262101,-0.1281768,1.110833,0.235667,-0.1623605,1.086976,0.2356053,-0.1466146,1.106795,0.2378934,-0.1208623,1.095203,0.24115,-0.09524242,1.135355,0.2614122,-0.08491564,1.130883,0.282012,-0.0668546,1.105114,0.3062297,-0.07337048,1.123705,0.2948658,-0.1135056,1.11893,0.2831371
3,0.002245338,0.909978,0.02056098,-0.07760084,0.8380722,0.01825124,0.08586604,0.8443705,0.00461214,-0.002396797,1.011311,0.01171466,-0.2298586,0.4672949,0.2085766,0.1462527,0.4691823,0.2336755,-0.0007018489,1.110975,0.02005986,-0.3619695,0.08729547,0.01773594,0.2082056,0.08729285,0.01323285,0.0007519717,1.20221,0.03914306,-0.370002,1.066923E-05,0.1245413,0.207443,5.245209E-06,0.120335,-0.04340221,1.311259,0.06824508,0.002308298,1.360361,0.09770806,0.04785859,1.308718,0.07268709,-0.1475111,1.312591,0.03815935,0.008177629,1.435029,0.1603538,0.153928,1.310941,0.05052965,-0.3163866,1.100615,-0.02557727,0.2103639,1.063591,0.1651944,-0.1725464,1.158493,0.2115145,-0.04304183,1.139321,0.2666976,-0.1183514,1.145218,0.2871595,-0.1381728,1.138942,0.2982602,-0.1746223,1.120933,0.2926472,-0.1556926,1.131244,0.2987541,-0.1349514,1.151444,0.2221317,-0.1218514,1.174966,0.303468,-0.1116873,1.171548,0.3244564,-0.08590636,1.146936,0.3448026,-0.1001007,1.162106,0.3364165,-0.08139848,1.14528,0.2584657,-0.1112656,1.112536,0.2713265,-0.1310831,1.106257,0.2824362,-0.1700498,1.08836,0.2780158,-0.1496601,1.10342,0.2852748,-0.1157963,1.124096,0.2473969,-0.1321686,1.140035,0.2969601,-0.1220045,1.136617,0.3179486,-0.09594475,1.112948,0.3384705,-0.1095235,1.130203,0.3304728,-0.118511,1.131307,0.2719633,-0.1231261,1.125798,0.2490623,-0.1433597,1.119984,0.2593907,-0.1787892,1.098132,0.2616105,-0.1619368,1.117148,0.2622293,-0.1367907,1.10438,0.2658099,-0.1080698,1.142505,0.2819468,-0.09706017,1.139173,0.3024085,-0.07818772,1.114769,0.3274082,-0.08508919,1.132707,0.3152505,-0.1255899,1.127338,0.305148
4,-0.03781697,0.9280068,0.02630426,-0.1157094,0.8539535,0.02603348,0.04617028,0.8657157,0.001462605,-0.04573287,1.02946,0.02271639,-0.2381746,0.4698447,0.2113567,0.1505819,0.4855784,0.2051204,-0.04862089,1.129444,0.02233014,-0.3592505,0.08729315,0.01830775,0.2050454,0.08726275,0.01367582,-0.05264118,1.222078,0.03196966,-0.3701613,6.258488E-06,0.1248561,0.2075877,-2.080202E-05,0.1207539,-0.1051199,1.32951,0.05178345,-0.0624848,1.385728,0.07153848,-0.01396516,1.335664,0.04901543,-0.2130425,1.325732,0.04261669,-0.05820584,1.467348,0.1249631,0.0914636,1.349796,0.02823845,-0.3842814,1.12981,0.1416459,0.1106621,1.16049,0.2314866,-0.2416377,1.247677,0.3561509,-0.1125589,1.204003,0.4003989,-0.1855398,1.243433,0.4314536,-0.2051536,1.246248,0.4442159,-0.2453073,1.237792,0.4449559,-0.2239115,1.244007,0.447308,-0.2061591,1.234327,0.3679331,-0.1825746,1.24973,0.4432994,-0.1680324,1.251357,0.4617759,-0.1377809,1.231888,0.4815286,-0.1538758,1.244874,0.4729115,-0.1519423,1.208747,0.3994245,-0.1883728,1.206881,0.4264595,-0.2079827,1.209695,0.4392312,-0.2504211,1.202366,0.4411034,-0.2263235,1.212888,0.4430561,-0.1921264,1.21161,0.4001853,-0.1930515,1.214562,0.4480369,-0.1785092,1.216189,0.4665134,-0.1479746,1.19767,0.4861381,-0.1634445,1.212754,0.4772384,-0.1848593,1.199547,0.4236442,-0.1986068,1.21562,0.4013368,-0.2185758,1.21874,0.4132271,-0.257962,1.208805,0.4225918,-0.2369166,1.221934,0.4170519,-0.2155307,1.204575,0.424087,-0.1728354,1.212591,0.4280449,-0.1575839,1.214149,0.44582,-0.1330785,1.196218,0.4714071,-0.142947,1.210756,0.4569681,-0.1845032,1.204123,0.4574972
5,-0.04185156,0.9335302,0.02842917,-0.1194907,0.859211,0.02827928,0.04221535,0.871626,0.002899405,-0.0501332,1.034968,0.02528173,-0.2393235,0.4717234,0.2082112,0.149672,0.4882536,0.19876,-0.0539107,1.134918,0.02425222,-0.3592072,0.08721417,0.01833358,0.2047892,0.08703941,0.01366009,-0.05854282,1.22762,0.03291345,-0.3701522,-7.253885E-05,0.1248784,0.2075061,-0.000169158,0.1207948,-0.11148,1.335065,0.05139413,-0.06903797,1.391792,0.07008018,-0.02037445,1.341648,0.04805295,-0.2195068,1.330761,0.04382593,-0.06490584,1.473844,0.1228512,0.08508229,1.356281,0.02777152,-0.3866871,1.139127,0.157148,0.09861306,1.173675,0.237502,-0.2472465,1.256929,0.3737838,-0.1177331,1.210694,0.4166005,-0.1913472,1.252455,0.4492208,-0.210962,1.255491,0.4619311,-0.2511908,1.247395,0.4626155,-0.2297456,1.253428,0.464991,-0.211913,1.243306,0.3856892,-0.1864105,1.256895,0.4611257,-0.1713694,1.25857,0.479194,-0.1406616,1.239099,0.4982288,-0.1569393,1.252096,0.4899787,-0.1571121,1.215572,0.4166631,-0.1944951,1.215913,0.4443508,-0.214106,1.218947,0.4570706,-0.2566118,1.212002,0.4588781,-0.2324256,1.222317,0.4608449,-0.1981511,1.220581,0.4180523,-0.1968743,1.22179,0.4663344,-0.1818332,1.223464,0.4844028,-0.1508427,1.204943,0.5032967,-0.1664961,1.220034,0.4947361,-0.1893943,1.206617,0.4418114,-0.204598,1.224652,0.4191755,-0.2245634,1.227993,0.4310118,-0.264056,1.218442,0.4403278,-0.242883,1.231363,0.4347861,-0.2216674,1.21384,0.4419287,-0.177212,1.219642,0.4458154,-0.161481,1.221241,0.4631638,-0.1363547,1.20336,0.4881774,-0.1465601,1.217856,0.4739313,-0.1881091,1.211372,0.4756171
6,-0.05996756,0.9577962,0.04011611,-0.13596,0.8818085,0.04160479,0.02482193,0.8977609,0.01259071,-0.07051657,1.059034,0.03731941,-0.2454244,0.4799606,0.1946335,0.1435446,0.5004932,0.1705971,-0.07872915,1.158665,0.03391353,-0.3593847,0.08734322,0.01817508,0.204172,0.08801246,0.01421089,-0.08616311,1.251477,0.03846849,-0.3701645,5.525351E-05,0.1247357,0.2076547,4.887581E-06,0.120668,-0.1407911,1.358887,0.05139508,-0.09902509,1.41754,0.06495833,-0.04998269,1.366971,0.04482182,-0.2489701,1.352354,0.05183185,-0.09485009,1.501088,0.1153225,0.05548091,1.383055,0.02570776,-0.3886628,1.187181,0.2271006,0.04811746,1.233421,0.2603787,-0.2583961,1.29355,0.4550669,-0.1262324,1.237125,0.4836291,-0.2012691,1.28663,0.5293913,-0.2206135,1.28967,0.5425083,-0.2609397,1.282141,0.5437286,-0.2393697,1.287812,0.5458543,-0.2230666,1.279163,0.4660506,-0.1877036,1.283368,0.5376334,-0.1702559,1.284872,0.5534075,-0.1372712,1.265157,0.5678199,-0.1544826,1.278273,0.5620155,-0.1651832,1.242175,0.4892715,-0.2050406,1.250251,0.5237926,-0.2243811,1.25329,0.536919,-0.2669471,1.24692,0.5393269,-0.2425806,1.25684,0.5410879,-0.2090828,1.255543,0.4976691,-0.1975091,1.24828,0.5440866,-0.1800615,1.249784,0.5598609,-0.1468119,1.231017,0.5740988,-0.1634382,1.246226,0.5679092,-0.1936414,1.233217,0.5186762,-0.2154484,1.259681,0.4989934,-0.2351539,1.263051,0.5112495,-0.274616,1.253868,0.5210538,-0.2533536,1.266601,0.5154185,-0.2322785,1.248623,0.5218065,-0.1809491,1.246164,0.5209882,-0.1629203,1.247594,0.5359519,-0.1346096,1.229458,0.5570789,-0.1466475,1.244081,0.5444893,-0.1875761,1.23777,0.5519865
7,-0.074539,0.9709153,0.05166114,-0.1482497,0.8929361,0.0577575,0.01119283,0.9123567,0.0238747,-0.08806471,1.071665,0.04575853,-0.251384,0.4827203,0.1918036,0.1391075,0.5100563,0.160531,-0.1002494,1.170815,0.04065018,-0.3596042,0.08728313,0.01804873,0.2038636,0.09303844,0.01849116,-0.110263,1.263487,0.04196036,-0.3701295,-1.132488E-06,0.1246379,0.2080112,5.215406E-05,0.1206036,-0.1665307,1.370417,0.05134537,-0.1254553,1.430522,0.05963407,-0.0763064,1.379813,0.04011973,-0.274154,1.362219,0.06112177,-0.1201556,1.515287,0.1078127,0.02860243,1.396809,0.01886199,-0.3762576,1.230142,0.2839345,0.0180468,1.279335,0.271059,-0.2403953,1.321676,0.5150517,-0.1084908,1.260465,0.5238128,-0.1790354,1.312688,0.5856892,-0.1975736,1.315375,0.5999938,-0.237775,1.307834,0.6033639,-0.2161058,1.313434,0.6043791,-0.204514,1.306976,0.5235511,-0.1620888,1.304415,0.5872898,-0.1424946,1.306113,0.6002776,-0.1072881,1.286999,0.6091958,-0.1254611,1.299775,0.6062891,-0.1462423,1.264485,0.5353526,-0.1832031,1.276479,0.5793249,-0.2017367,1.279164,0.5936385,-0.2441023,1.27275,0.5983565,-0.2196541,1.282607,0.5989607,-0.1887546,1.282489,0.5536376,-0.170038,1.269008,0.5945156,-0.1504438,1.270707,0.6075035,-0.1150225,1.25255,0.6162263,-0.1327214,1.267438,0.6128887,-0.1697271,1.254413,0.5685458,-0.1950233,1.286592,0.555445,-0.2139716,1.289632,0.5689209,-0.2528119,1.280202,0.5807609,-0.231889,1.293075,0.5742428,-0.2105138,1.274919,0.5788916,-0.1571168,1.26763,0.5691503,-0.1370693,1.269281,0.5812483,-0.1055017,1.251534,0.5975363,-0.1196203,1.266041,0.5871701,-0.158798,1.258629,0.6006374
8,-0.07908386,0.9746668,0.05563424,-0.1518747,0.8960123,0.06376843,0.006977193,0.9165897,0.02785502,-0.09376438,1.075158,0.04827714,-0.2533128,0.4833773,0.1915369,0.1377226,0.5133595,0.1589803,-0.1073346,1.174097,0.04259712,-0.359786,0.08739322,0.01794836,0.203464,0.09528458,0.02054634,-0.1182757,1.266674,0.04276728,-0.370167,0.0001405478,0.1245776,0.2077028,3.71933E-05,0.120549,-0.1751543,1.373377,0.05098706,-0.1343814,1.433928,0.05727976,-0.08522251,1.383173,0.03790972,-0.2823641,1.364754,0.06430233,-0.1285594,1.519151,0.1045811,0.01941438,1.400421,0.01554373,-0.3686172,1.246122,0.3009497,0.009342358,1.294921,0.272999,-0.22994,1.332645,0.5323253,-0.09827439,1.270074,0.5338698,-0.1670539,1.323075,0.6015296,-0.1852695,1.325681,0.6162575,-0.2253971,1.318162,0.6204565,-0.2037035,1.323729,0.621035,-0.1939001,1.317842,0.5399275,-0.1484473,1.313298,0.6005622,-0.1281501,1.315084,0.6124088,-0.09234789,1.296198,0.6191819,-0.1107522,1.308848,0.617395,-0.1353266,1.273747,0.5475866,-0.1714084,1.286918,0.5949979,-0.1896193,1.289521,0.6097347,-0.2318793,1.283122,0.6153373,-0.2074107,1.292946,0.6154743,-0.1775154,1.29312,0.5694829,-0.155705,1.277797,0.608045,-0.1354078,1.279583,0.6198917,-0.09940942,1.261656,0.6264628,-0.1173808,1.276424,0.6242294,-0.1567838,1.263332,0.5820233,-0.1837374,1.297217,0.5714571,-0.2023809,1.300182,0.585368,-0.2409638,1.290712,0.5979913,-0.2201723,1.303607,0.5911075,-0.1987242,1.285393,0.5951542,-0.1442576,1.276643,0.5819707,-0.1235588,1.278388,0.5929023,-0.09097452,1.260805,0.6072499,-0.105774,1.275254,0.597792,-0.1440545,1.267475,0.613454
9,-0.08578721,0.9770436,0.06207927,-0.1571077,0.8975027,0.07381867,0.0008194968,0.9195333,0.03482154,-0.1022736,1.076995,0.05177889,-0.2562321,0.4826714,0.1961767,0.1365759,0.5162592,0.1606106,-0.1176846,1.175622,0.04541561,-0.3595012,0.08775115,0.01828231,0.2029572,0.0979411,0.02322014,-0.1299552,1.268023,0.04407862,-0.3701429,0.0001388192,0.1245903,0.2079301,-5.722046E-06,0.1205458,-0.1878269,1.374288,0.05090957,-0.1476061,1.435439,0.0542758,-0.09843284,1.384688,0.03493268,-0.2942206,1.365091,0.06938592,-0.1410336,1.52134,0.100235,0.005647555,1.402231,0.01031299,-0.3562778,1.264608,0.3215113,0.0007841736,1.312346,0.2737745,-0.2111522,1.344435,0.5513343,-0.08194618,1.283456,0.543169,-0.1459218,1.333806,0.6181736,-0.1636026,1.336283,0.6335605,-0.2035854,1.328837,0.6390666,-0.1818653,1.334329,0.6389551,-0.1749212,1.329427,0.5574876,-0.1274478,1.324969,0.6141613,-0.1063003,1.327084,0.6243501,-0.06968193,1.308914,0.6280053,-0.08842983,1.321179,0.627848,-0.1178356,1.2862,0.5598702,-0.1506296,1.297746,0.6113508,-0.1683053,1.300221,0.6267464,-0.2103663,1.293884,0.6337433,-0.1858732,1.30363,0.6331465,-0.1576019,1.304286,0.5861436,-0.1333356,1.289251,0.6218166,-0.112188,1.291366,0.6320056,-0.07541057,1.274162,0.6354539,-0.09380724,1.288558,0.6348397,-0.1362148,1.275007,0.5958099,-0.1637366,1.308377,0.5883849,-0.1818723,1.311226,0.6029745,-0.2200241,1.301718,0.6168211,-0.1994401,1.314634,0.6093749,-0.1779283,1.296304,0.612443,-0.1240138,1.288585,0.5948924,-0.1025393,1.290677,0.6041366,-0.06854196,1.273672,0.615615,-0.08435578,1.287883,0.6075405,-0.1210733,1.279134,0.6261546
10,-0.09973362,0.9784105,0.07598827,-0.1680411,0.8975307,0.09452827,-0.01191439,0.9220906,0.05016191,-0.1198105,1.076926,0.0598719,-0.262659,0.4790657,0.2077384,0.1338143,0.5196627,0.1671984,-0.1386072,1.174896,0.05252111,-0.3591374,0.08781916,0.01828917,0.2013735,0.1022044,0.02778175,-0.1535335,1.26683,0.04860146,-0.3701878,0.0002633333,0.1246022,0.207802,2.229214E-05,0.1205614,-0.2135831,1.372002,0.0531937,-0.1747869,1.434121,0.05104849,-0.1255183,1.383509,0.03158562,-0.3177791,1.362022,0.08128601,-0.1670577,1.521229,0.09448504,-0.02275269,1.401652,0.002316765,-0.3292831,1.296613,0.3516642,-0.01410347,1.339805,0.273638,-0.1726618,1.364968,0.5776058,-0.04976214,1.309212,0.5530031,-0.1039028,1.351982,0.6403676,-0.1206354,1.354398,0.6567898,-0.1603526,1.347429,0.6644297,-0.1385895,1.352601,0.6631829,-0.1363825,1.349302,0.5813692,-0.08520684,1.347332,0.63126,-0.06282704,1.35013,0.6381023,-0.02541478,1.33345,0.635559,-0.04441607,1.344915,0.6386321,-0.08268865,1.310104,0.5751288,-0.1095657,1.316146,0.6331046,-0.126293,1.31856,0.6495352,-0.1679819,1.312699,0.6588048,-0.1434107,1.322093,0.6569995,-0.1178595,1.323314,0.6084751,-0.08845052,1.311251,0.6387874,-0.06607067,1.314049,0.6456297,-0.02857067,1.298344,0.6428829,-0.04737844,1.311962,0.6455071,-0.09479731,1.297425,0.6131732,-0.1237905,1.327448,0.6111462,-0.1410168,1.330258,0.626806,-0.1784633,1.321027,0.6426247,-0.1581345,1.333791,0.6342704,-0.1367774,1.315085,0.6357318,-0.08342022,1.311521,0.6107363,-0.06086391,1.314329,0.6165943,-0.02486418,1.298543,0.6222135,-0.04227817,1.312235,0.6170653,-0.07528175,1.301574,0.6409044
